,x,y,z,r,g,b
273,-1.1167064,-4.2860513,6.12401,0.9137254901960784,0.3686274509803921,0.050980392156862744
274,-0.79328376,-4.456473,6.318662,0.9137254901960784,0.3686274509803921,0.050980392156862744
275,-1.3472216,-3.6020262,5.9338245,0.9137254901960784,0.3686274509803921,0.050980392156862744
276,-1.9308971,-2.021754,6.5841603,0.9881891580161477,0.5707035755478662,0.44521337946943484
277,-0.65364367,-5.862846,6.2825823,0.9921568627450981,0.726797385620915,0.49150326797385624
278,2.2367291,-7.737924,6.292079,0.3388235294117647,0.7117262591311034,0.40584390618992694
279,1.73611,-8.133598,7.708763,0.17139561707035755,0.581514801999231,0.2979008073817762
280,2.8883357,-8.173827,7.688439,0.17139561707035755,0.581514801999231,0.2979008073817762
281,-0.9050653,-4.3101807,6.252406,0.9137254901960784,0.3686274509803921,0.050980392156862744
282,-1.736422,-3.5788062,4.8727155,0.9882352941176471,0.732072279892349,0.6299269511726259
283,-1.2562774,-3.8278995,6.1905594,0.9137254901960784,0.3686274509803921,0.050980392156862744
284,-0.70597994,-4.4143186,6.121059,0.9137254901960784,0.3686274509803921,0.050980392156862744
285,-0.45803317,-4.629414,5.244837,0.9914186851211073,0.550726643598616,0.23277201076509035
286,-0.57229525,-4.6715074,5.466379,0.7145098039215686,0.23418685121107266,0.009273356401384082
287,-0.54444295,-4.5229497,4.9237766,0.7145098039215686,0.23418685121107266,0.009273356401384082
288,-1.936869,-2.540793,6.128966,0.6403844675124952,0.05720876585928489,0.08149173394848133
289,-1.0337174,-4.082975,4.5403047,0.9881891580161477,0.5707035755478662,0.44521337946943484
290,-1.6640602,-3.709303,4.681929,0.9881891580161477,0.5707035755478662,0.44521337946943484
291,-2.282835,-3.3414938,6.0335245,0.6403844675124952,0.05720876585928489,0.08149173394848133
292,1.2397004,-5.064228,6.1434355,0.1271049596309112,0.4401845444059977,0.7074971164936563
293,-0.3394527,-4.8790245,5.8556294,0.9914186851211073,0.550726643598616,0.23277201076509035
294,-0.31349048,-4.6839347,4.787131,0.7145098039215686,0.23418685121107266,0.009273356401384082
295,-0.28543353,-4.81323,4.778222,0.41708573625528644,0.6806305267204922,0.8382314494425221
296,1.216568,-2.8328004,8.66552,0.47320261437908495,0.43267973856209146,0.6993464052287581
297,1.1763237,-5.0695853,5.971005,0.1271049596309112,0.4401845444059977,0.7074971164936563
298,0.48268065,-5.099601,4.6422014,0.1271049596309112,0.4401845444059977,0.7074971164936563
299,0.8918038,-5.2035785,4.7899942,0.1271049596309112,0.4401845444059977,0.7074971164936563
300,-0.49723232,-4.5165825,5.2297025,0.7145098039215686,0.23418685121107266,0.009273356401384082
301,0.95594734,-7.1020617,7.1203213,0.17139561707035755,0.581514801999231,0.2979008073817762
302,1.7145665,-7.752626,8.103711,0.17139561707035755,0.581514801999231,0.2979008073817762
303,1.8136228,-7.574086,6.015486,0.17139561707035755,0.581514801999231,0.2979008073817762
304,1.2317103,-6.5033913,7.168662,0.17139561707035755,0.581514801999231,0.2979008073817762
305,-2.397105,-2.9018362,6.016283,0.6403844675124952,0.05720876585928489,0.08149173394848133
306,-1.8987333,-2.7375317,6.3821177,0.6403844675124952,0.05720876585928489,0.08149173394848133
307,-2.626451,-2.800098,6.09411,0.9344867358708189,0.2286812764321415,0.17139561707035755
308,0.8840245,-7.1680145,5.9956837,0.17139561707035755,0.581514801999231,0.2979008073817762
309,3.1045034,-8.087168,6.682984,0.17139561707035755,0.581514801999231,0.2979008073817762
310,2.6230588,-8.329904,6.7437243,0.17139561707035755,0.581514801999231,0.2979008073817762
311,2.8004558,-8.81857,7.3359203,0.17139561707035755,0.581514801999231,0.2979008073817762
312,3.1329222,-7.3739185,7.4878154,0.17139561707035755,0.581514801999231,0.2979008073817762
313,3.2898607,-8.198105,7.6130347,0.17139561707035755,0.581514801999231,0.2979008073817762
314,2.096371,-7.8602924,8.199876,0.17139561707035755,0.581514801999231,0.2979008073817762
315,1.6240109,-7.462983,5.680672,0.17139561707035755,0.581514801999231,0.2979008073817762
316,2.7261004,-8.073816,7.5325537,0.17139561707035755,0.581514801999231,0.2979008073817762
317,0.6410364,-6.3873005,4.931718,0.41708573625528644,0.6806305267204922,0.8382314494425221
318,-0.038415316,-4.5820665,5.187472,0.1271049596309112,0.4401845444059977,0.7074971164936563
319,-0.5687755,-4.4850926,5.0855436,0.7145098039215686,0.23418685121107266,0.009273356401384082
320,-2.0165777,-2.960132,5.2824965,0.7925720876585928,0.09328719723183392,0.11298731257208766
321,3.1876373,-8.33822,7.7747316,0.17139561707035755,0.581514801999231,0.2979008073817762
322,2.6113462,-7.508656,7.9929247,0.17139561707035755,0.581514801999231,0.2979008073817762
323,3.253275,-8.147821,7.502234,0.17139561707035755,0.581514801999231,0.2979008073817762
324,2.763758,-8.243574,6.7040086,0.17139561707035755,0.581514801999231,0.2979008073817762
325,2.1397338,-6.814367,6.5419726,0.17139561707035755,0.581514801999231,0.2979008073817762
326,2.375631,-8.529046,6.552199,0.17139561707035755,0.581514801999231,0.2979008073817762
327,1.337826,-8.059989,6.8063784,0.17139561707035755,0.581514801999231,0.2979008073817762
328,2.8717911,-8.337733,6.4659624,0.17139561707035755,0.581514801999231,0.2979008073817762
329,2.611247,-8.589336,6.927682,0.17139561707035755,0.581514801999231,0.2979008073817762
330,2.2832,-6.8777423,5.9139323,0.17139561707035755,0.581514801999231,0.2979008073817762
331,2.212668,-8.253566,6.4686728,0.17139561707035755,0.581514801999231,0.2979008073817762
332,2.129281,-8.559382,6.4767513,0.17139561707035755,0.581514801999231,0.2979008073817762
333,3.1964455,-8.327653,7.6153984,0.17139561707035755,0.581514801999231,0.2979008073817762
334,3.0188408,-8.299293,7.823042,0.17139561707035755,0.581514801999231,0.2979008073817762
335,1.312968,-7.233287,7.186677,0.17139561707035755,0.581514801999231,0.2979008073817762
336,2.1023152,-7.8901324,7.255581,0.17139561707035755,0.581514801999231,0.2979008073817762
337,2.7047756,-8.370638,6.3370256,0.17139561707035755,0.581514801999231,0.2979008073817762
338,1.8820478,-7.266358,6.2259393,0.3388235294117647,0.7117262591311034,0.40584390618992694
339,2.5181463,-8.2006,6.5911317,0.17139561707035755,0.581514801999231,0.2979008073817762
340,3.0632105,-8.740019,7.20939,0.17139561707035755,0.581514801999231,0.2979008073817762
341,1.3384693,-3.174366,8.614541,0.47320261437908495,0.43267973856209146,0.6993464052287581
342,3.1307628,-8.504915,7.450727,0.17139561707035755,0.581514801999231,0.2979008073817762
343,2.9211636,-8.378103,7.881956,0.17139561707035755,0.581514801999231,0.2979008073817762
344,-0.8535619,-4.482606,6.1675744,0.9137254901960784,0.3686274509803921,0.050980392156862744
345,-0.64130706,-4.236975,5.1450562,0.7145098039215686,0.23418685121107266,0.009273356401384082
346,-0.9712117,-4.051008,6.0176115,0.9137254901960784,0.3686274509803921,0.050980392156862744
347,-1.0661119,-4.1287327,6.115966,0.9137254901960784,0.3686274509803921,0.050980392156862744
348,1.8422554,-8.318836,6.342843,0.17139561707035755,0.581514801999231,0.2979008073817762
349,2.426467,-8.392928,8.011478,0.17139561707035755,0.581514801999231,0.2979008073817762
350,2.4254396,-7.618901,5.9225984,0.5573241061130334,0.8164244521337947,0.546958861976163
351,2.7023976,-8.667403,7.521968,0.17139561707035755,0.581514801999231,0.2979008073817762
352,1.1563288,-2.5760934,8.859217,0.47320261437908495,0.43267973856209146,0.6993464052287581
353,-1.8752323,-2.2058072,6.035142,0.7925720876585928,0.09328719723183392,0.11298731257208766
354,2.5266035,-7.196024,7.5193076,0.17139561707035755,0.581514801999231,0.2979008073817762
355,0.71465904,-6.8528194,5.9970474,0.3388235294117647,0.7117262591311034,0.40584390618992694
356,1.2162873,-3.3947306,8.378867,0.47320261437908495,0.43267973856209146,0.6993464052287581
357,0.12655959,-4.8549285,4.5956564,0.7145098039215686,0.23418685121107266,0.009273356401384082
358,3.5626082,-6.8651624,6.353792,0.17139561707035755,0.581514801999231,0.2979008073817762
359,1.475824,-3.2020779,8.892676,0.47320261437908495,0.43267973856209146,0.6993464052287581
360,-1.915194,-2.4911487,5.74591,0.6403844675124952,0.05720876585928489,0.08149173394848133
